x;y;z;t
392.6231881396425;-115.57527040894433;45.21977085191015;1.5800130367279053
323.98282812100496;-81.06841649280814;36.15437753956504;1.6576762199401855
258.2084243488413;-47.539196209843325;25.087662414974314;1.7309892177581787
198.57149179537353;-13.520951648970913;21.731876971932145;1.8089063167572021
139.31476983052917;8.635830053936495;16.66868850116439;1.8818480968475342
82.06337449990045;23.231394658659482;14.066332479244059;1.9595482349395752
23.34961058459772;39.29881649110939;12.74041083671252;2.039436101913452
-31.951895805784794;42.954984899378495;14.640644963105364;2.1123692989349365
-85.83531089077927;39.59864929940781;14.541293487076729;2.1925342082977295
-147.6236885974518;32.73162970038247;13.580772937362699;2.2619802951812744
-208.2498233495696;27.64380171490106;13.932758260018055;2.3418023586273193
-268.79033952102964;22.020610516726748;14.08284533795408;2.4158482551574707
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
-329.74097032579925;18.53473838379971;14.66325981829639;2.4932312965393066
